level,breakdown,group,correct,total,accuracy_pct
reasoning_1,overall,all,373,648,57.56
reasoning_2,overall,all,370,651,56.84
reasoning_3,overall,all,310,651,47.62
reasoning_4,overall,all,265,651,40.71
reasoning_5,overall,all,258,651,39.63
reasoning_1,section,freshman_sophomore_test,151,266,56.77
reasoning_2,section,freshman_sophomore_test,159,267,59.55
reasoning_3,section,freshman_sophomore_test,145,267,54.31
reasoning_4,section,freshman_sophomore_test,112,267,41.95
reasoning_5,section,freshman_sophomore_test,118,267,44.19
reasoning_1,section,junior_senior_test,159,268,59.33
reasoning_2,section,junior_senior_test,154,269,57.25
reasoning_3,section,junior_senior_test,131,269,48.7
reasoning_4,section,junior_senior_test,117,269,43.49
reasoning_5,section,junior_senior_test,115,269,42.75
reasoning_1,section,two_person_speed_event,63,114,55.26
reasoning_2,section,two_person_speed_event,57,115,49.57
reasoning_3,section,two_person_speed_event,34,115,29.57
reasoning_4,section,two_person_speed_event,36,115,31.3
reasoning_5,section,two_person_speed_event,25,115,21.74
reasoning_1,year,2011,19,37,51.35
reasoning_2,year,2011,20,37,54.05
reasoning_3,year,2011,14,37,37.84
reasoning_4,year,2011,12,37,32.43
reasoning_5,year,2011,12,37,32.43
reasoning_1,year,2012,29,49,59.18
reasoning_2,year,2012,25,50,50.0
reasoning_3,year,2012,24,50,48.0
reasoning_4,year,2012,17,50,34.0
reasoning_5,year,2012,21,50,42.0
reasoning_1,year,2013,21,44,47.73
reasoning_2,year,2013,24,45,53.33
reasoning_3,year,2013,20,45,44.44
reasoning_4,year,2013,19,45,42.22
reasoning_5,year,2013,21,45,46.67
reasoning_1,year,2014,26,45,57.78
reasoning_2,year,2014,24,46,52.17
reasoning_3,year,2014,23,46,50.0
reasoning_4,year,2014,19,46,41.3
reasoning_5,year,2014,15,46,32.61
reasoning_1,year,2015,27,43,62.79
reasoning_2,year,2015,22,43,51.16
reasoning_3,year,2015,13,43,30.23
reasoning_4,year,2015,17,43,39.53
reasoning_5,year,2015,16,43,37.21
reasoning_1,year,2016,24,45,53.33
reasoning_2,year,2016,28,45,62.22
reasoning_3,year,2016,22,45,48.89
reasoning_4,year,2016,13,45,28.89
reasoning_5,year,2016,16,45,35.56
reasoning_1,year,2017,32,43,74.42
reasoning_2,year,2017,34,43,79.07
reasoning_3,year,2017,31,43,72.09
reasoning_4,year,2017,25,43,58.14
reasoning_5,year,2017,22,43,51.16
reasoning_1,year,2018,22,43,51.16
reasoning_2,year,2018,16,43,37.21
reasoning_3,year,2018,18,43,41.86
reasoning_4,year,2018,11,43,25.58
reasoning_5,year,2018,12,43,27.91
reasoning_1,year,2019,16,26,61.54
reasoning_2,year,2019,16,26,61.54
reasoning_3,year,2019,14,26,53.85
reasoning_4,year,2019,13,26,50.0
reasoning_5,year,2019,9,26,34.62
reasoning_1,year,2020,17,37,45.95
reasoning_2,year,2020,22,37,59.46
reasoning_3,year,2020,21,37,56.76
reasoning_4,year,2020,15,37,40.54
reasoning_5,year,2020,18,37,48.65
reasoning_1,year,2021,23,46,50.0
reasoning_2,year,2021,27,46,58.7
reasoning_3,year,2021,18,46,39.13
reasoning_4,year,2021,16,46,34.78
reasoning_5,year,2021,18,46,39.13
reasoning_1,year,2022,26,48,54.17
reasoning_2,year,2022,28,48,58.33
reasoning_3,year,2022,23,48,47.92
reasoning_4,year,2022,28,48,58.33
reasoning_5,year,2022,18,48,37.5
reasoning_1,year,2023,26,47,55.32
reasoning_2,year,2023,28,47,59.57
reasoning_3,year,2023,23,47,48.94
reasoning_4,year,2023,23,47,48.94
reasoning_5,year,2023,17,47,36.17
reasoning_1,year,2024,32,48,66.67
reasoning_2,year,2024,30,48,62.5
reasoning_3,year,2024,22,48,45.83
reasoning_4,year,2024,15,48,31.25
reasoning_5,year,2024,20,48,41.67
reasoning_1,year,2025,33,47,70.21
reasoning_2,year,2025,26,47,55.32
reasoning_3,year,2025,24,47,51.06
reasoning_4,year,2025,22,47,46.81
reasoning_5,year,2025,23,47,48.94
